,carat,price,cut
5183,1.01,6999,Ideal
5184,0.7,3167,Ideal
5185,0.76,2663,Very Good
5186,0.84,2574,Premium
5187,1.08,4318,Premium
5188,0.91,3884,Ideal
5189,0.41,1151,Ideal
5190,2.1,18648,Ideal
5191,0.71,2201,Very Good
5192,1.54,7453,Very Good
5193,0.57,1851,Ideal
5194,0.38,812,Premium
5195,0.91,4637,Premium
5196,0.35,782,Ideal
5197,0.23,505,Very Good
5198,0.32,720,Ideal
5199,1.02,6393,Ideal
5200,1.12,3864,Very Good
5201,0.3,605,Ideal
5202,1.01,4416,Very Good
5203,0.56,2304,Very Good
5204,0.3,710,Very Good
5205,1.0,3920,Good
5206,1.56,8048,Good
5207,0.57,1949,Ideal
5208,0.39,1009,Premium
5209,1.2,5174,Ideal
5210,1.6,12546,Good
5211,0.53,1205,Ideal
5212,0.5,1676,Premium
5213,2.1,11946,Fair
5214,1.16,10368,Ideal
5215,1.27,10321,Very Good
5216,0.5,997,Very Good
5217,1.0,4975,Very Good
5218,0.71,2515,Premium
5219,1.21,5285,Premium
5220,0.71,3254,Ideal
5221,0.35,454,Good
5222,0.97,3884,Ideal
5223,1.5,13009,Premium
5224,1.12,4064,Premium
5225,0.3,382,Very Good
5226,0.3,956,Ideal
5227,0.5,1317,Very Good
5228,0.52,1369,Very Good
5229,0.71,3376,Ideal
5230,1.16,5908,Ideal
5231,1.21,12230,Ideal
5232,0.57,2974,Ideal
5233,1.73,8703,Good
5234,1.59,15111,Premium
5235,1.06,4092,Ideal
5236,0.4,1125,Ideal
5237,0.31,1168,Ideal
5238,0.31,761,Premium
5239,1.19,12795,Ideal
5240,1.24,5055,Ideal
5241,0.54,1847,Ideal
5242,0.48,914,Good
5243,0.4,662,Ideal
5244,0.3,574,Premium
5245,0.51,2197,Ideal
5246,1.26,6068,Premium
5247,0.36,600,Premium
5248,0.31,412,Good
5249,0.59,1743,Ideal
5250,1.0,8374,Good
5251,0.31,802,Very Good
5252,0.72,2006,Ideal
5253,0.4,882,Good
5254,0.4,1090,Ideal
5255,0.7,2335,Ideal
5256,1.51,11580,Ideal
5257,0.54,2009,Premium
5258,0.35,1011,Fair
5259,0.7,2324,Very Good
5260,1.18,5190,Premium
5261,0.71,3229,Ideal
5262,1.42,7316,Premium
5263,0.51,1331,Ideal
5264,1.02,2344,Good
5265,0.76,3820,Ideal
5266,0.37,811,Very Good
5267,0.7,2319,Premium
5268,0.3,622,Very Good
5269,0.5,1690,Ideal
5270,1.53,9802,Very Good
5271,0.3,450,Ideal
5272,0.62,2243,Ideal
5273,1.23,7260,Ideal
5274,1.26,5363,Ideal
5275,1.12,3889,Premium
5276,0.4,982,Very Good
5277,1.71,16575,Ideal
5278,1.01,6771,Very Good
5279,2.03,12844,Premium
5280,0.31,1168,Ideal
5281,0.43,792,Very Good
5282,1.05,13060,Ideal
5283,1.5,10744,Premium
5284,0.53,1727,Premium
5285,1.01,4779,Ideal
5286,0.35,829,Ideal
5287,1.2,9139,Very Good
5288,1.21,5866,Very Good
5289,1.02,5506,Premium
5290,0.51,2742,Ideal
5291,1.71,13097,Premium
5292,0.7,2737,Premium
5293,0.35,630,Ideal
5294,0.4,1150,Ideal
5295,1.13,3987,Very Good
5296,0.4,854,Ideal
5297,0.55,1448,Premium
5298,0.5,1447,Good
5299,1.7,9745,Very Good
5300,0.5,1755,Very Good
5301,0.77,2262,Good
5302,0.36,932,Premium
5303,0.4,702,Premium
5304,0.3,620,Very Good
5305,0.72,2732,Ideal
5306,0.51,1787,Ideal
5307,2.04,8408,Premium
5308,1.08,7672,Ideal
5309,1.09,4698,Good
5310,0.92,3725,Premium
5311,1.01,4338,Good
5312,0.75,2216,Premium
5313,0.31,408,Premium
5314,2.01,10401,Premium
5315,1.06,8413,Ideal
5316,1.01,6606,Premium
5317,1.02,2879,Ideal
5318,0.33,738,Ideal
5319,0.78,3672,Very Good
5320,1.01,5939,Premium
5321,1.1,4201,Premium
5322,1.5,10428,Good
5323,1.03,4874,Premium
5324,0.57,1726,Very Good
5325,0.83,3408,Premium
5326,0.32,720,Premium
5327,0.54,3494,Ideal
5328,0.52,2393,Ideal
5329,0.31,489,Premium
5330,0.38,1073,Ideal
5331,1.52,11776,Very Good
5332,0.91,2700,Premium
5333,1.01,7421,Ideal
5334,0.41,1079,Very Good
5335,1.2,5645,Premium
5336,0.39,971,Very Good
5337,0.83,3774,Ideal
5338,1.03,4503,Premium
5339,0.9,3519,Very Good
5340,0.52,1105,Premium
5341,1.01,5622,Very Good
5342,0.3,863,Ideal
5343,0.31,591,Ideal
5344,1.01,4767,Ideal
5345,1.14,7079,Ideal
5346,0.31,840,Ideal
5347,0.31,914,Premium
5348,0.32,828,Premium
5349,0.77,1956,Fair
5350,0.32,912,Ideal
5351,1.3,4455,Premium
5352,0.32,842,Ideal
5353,0.5,1845,Ideal
5354,0.71,2751,Ideal
5355,1.0,3780,Good
5356,0.54,1732,Ideal
5357,1.09,3961,Premium
5358,0.71,2103,Fair
5359,0.33,564,Ideal
5360,0.35,644,Premium
5361,0.41,1057,Ideal
5362,1.5,5268,Fair
5363,0.51,1709,Premium
5364,0.32,720,Ideal
5365,0.32,730,Ideal
5366,1.37,7346,Ideal
5367,0.31,720,Ideal
5368,1.17,5949,Ideal
5369,0.83,7889,Very Good
5370,1.13,5376,Premium
5371,0.91,4676,Premium
5372,0.75,3073,Ideal
5373,0.53,1693,Very Good
5374,2.02,9728,Premium
5375,0.72,3427,Ideal
5376,0.52,1774,Ideal
5377,1.69,13645,Ideal
5378,0.41,1007,Ideal
5379,0.41,683,Premium
5380,2.58,12500,Fair
5381,0.56,1814,Fair
5382,1.64,16297,Ideal
5383,0.9,3574,Good
5384,0.71,2471,Very Good
5385,0.73,2673,Good
5386,1.08,4489,Ideal
5387,1.05,4561,Ideal
5388,2.15,13006,Ideal
5389,1.74,16169,Very Good
5390,1.02,8489,Premium
5391,0.41,1230,Premium
5392,0.4,882,Very Good
5393,0.51,1781,Ideal
5394,1.06,7479,Premium
5395,0.3,526,Premium
5396,0.37,696,Very Good
5397,2.01,11925,Very Good
5398,0.35,1026,Ideal
5399,1.16,4222,Premium
5400,0.31,609,Ideal
5401,0.33,891,Ideal
5402,1.51,7875,Good
5403,0.43,792,Premium
5404,0.3,675,Good
5405,1.01,3801,Fair
5406,1.11,4028,Premium
5407,0.42,700,Very Good
5408,1.52,12840,Ideal
5409,0.72,1667,Premium
5410,0.72,2651,Ideal
5411,2.21,13642,Premium
5412,1.0,5967,Premium
5413,0.56,1882,Premium
5414,1.08,4241,Good
5415,0.32,1018,Ideal
5416,0.7,2294,Very Good
5417,0.55,1417,Very Good
5418,0.36,684,Ideal
5419,0.53,1227,Very Good
5420,0.4,764,Ideal
5421,1.17,4423,Premium
5422,0.48,1402,Good
5423,0.52,1720,Ideal
5424,0.33,445,Premium
5425,1.11,4744,Premium
5426,0.5,1676,Ideal
5427,0.54,1736,Ideal
5428,0.9,2947,Premium
5429,1.56,9784,Good
5430,1.53,15079,Very Good
5431,0.51,1959,Ideal
5432,0.26,445,Very Good
5433,1.51,13080,Very Good
5434,0.71,2531,Premium
5435,0.55,1786,Very Good
5436,0.31,625,Ideal
5437,1.06,4878,Very Good
5438,1.51,13623,Very Good
5439,0.59,1793,Ideal
5440,1.0,3136,Premium
5441,0.31,988,Ideal
5442,0.35,1063,Ideal
5443,0.41,755,Very Good
5444,0.51,1800,Good
5445,0.53,1328,Good
5446,0.7,1811,Fair
5447,2.28,16592,Ideal
5448,1.04,4515,Ideal
5449,0.57,1919,Ideal
5450,2.0,15249,Very Good
5451,0.32,702,Ideal
5452,0.46,1168,Good
5453,0.77,2830,Very Good
5454,0.23,640,Premium
5455,0.59,2283,Ideal
5456,0.33,463,Very Good
5457,0.56,2260,Ideal
5458,0.92,3555,Premium
5459,0.28,646,Premium
5460,0.51,1406,Ideal
5461,1.08,4740,Premium
5462,0.65,1828,Good
5463,0.29,647,Ideal
5464,1.02,4819,Ideal
5465,1.43,11498,Ideal
5466,0.33,868,Premium
5467,1.11,4854,Ideal
5468,0.51,2085,Ideal
5469,0.3,658,Very Good
5470,1.0,4312,Fair
5471,0.26,453,Very Good
5472,0.71,2822,Ideal
5473,0.9,4593,Ideal
5474,1.52,15760,Ideal
5475,1.5,13135,Ideal
5476,0.74,1962,Premium
5477,1.5,8555,Ideal
5478,0.38,983,Ideal
5479,0.38,759,Ideal
5480,0.32,505,Premium
5481,1.63,7302,Premium
5482,1.51,10951,Premium
5483,0.72,3762,Very Good
5484,0.58,2192,Fair
5485,0.71,3075,Very Good
5486,0.42,1307,Ideal
5487,1.01,5656,Premium
5488,0.46,864,Ideal
5489,0.32,449,Very Good
5490,0.27,620,Very Good
5491,1.02,7465,Ideal
5492,0.54,1563,Good
5493,1.02,4151,Premium
5494,1.01,3739,Ideal
5495,1.26,10367,Premium
5496,0.31,707,Very Good
5497,1.21,5218,Ideal
5498,1.13,5581,Premium
5499,0.39,876,Very Good
5500,0.9,3706,Very Good
5501,1.5,3780,Premium
5502,1.2,5699,Premium
5503,1.7,9253,Very Good
5504,0.4,975,Premium
5505,0.6,2143,Ideal
5506,0.51,872,Very Good
5507,2.01,17068,Premium
5508,0.51,1060,Ideal
5509,0.42,1069,Ideal
5510,1.5,9895,Very Good
5511,0.3,526,Very Good
5512,0.71,2308,Ideal
5513,0.82,4628,Ideal
5514,0.31,1122,Ideal
5515,1.2,6710,Good
5516,0.29,504,Very Good
5517,1.12,4641,Premium
5518,0.52,1577,Premium
5519,0.74,3170,Ideal
5520,0.31,513,Ideal
5521,1.0,5197,Premium
5522,0.37,957,Premium
5523,1.03,3743,Good
5524,0.65,2752,Very Good
5525,1.2,7235,Ideal
5526,0.3,675,Ideal
5527,0.9,3992,Good
5528,1.01,5383,Very Good
5529,1.31,4548,Premium
5530,0.31,433,Very Good
5531,1.06,11837,Ideal
5532,1.02,4884,Very Good
5533,1.01,8104,Ideal
5534,1.25,8400,Ideal
5535,0.53,1607,Premium
5536,1.11,5335,Very Good
5537,0.3,675,Ideal
5538,0.35,808,Ideal
5539,1.01,5832,Very Good
5540,0.65,1843,Good
5541,0.76,5056,Ideal
5542,0.5,1410,Ideal
5543,0.7,2748,Very Good
5544,0.4,945,Ideal
5545,0.54,1368,Ideal
5546,0.83,2444,Ideal
5547,1.31,12008,Ideal
5548,0.51,1974,Ideal
5549,0.4,891,Ideal
5550,1.01,5478,Ideal
5551,1.51,18102,Premium
5552,0.51,1669,Ideal
5553,1.19,5698,Very Good
5554,1.01,6787,Premium
5555,1.01,6449,Good
5556,0.33,1052,Ideal
5557,0.32,800,Ideal
5558,0.7,3082,Good
5559,0.32,599,Ideal
5560,1.08,5250,Premium
5561,1.21,4404,Very Good
5562,0.74,2744,Premium
5563,1.0,5299,Ideal
5564,1.21,6963,Premium
5565,1.0,6349,Ideal
5566,1.15,4701,Premium
5567,0.75,2985,Ideal
5568,0.27,464,Ideal
5569,0.53,1956,Ideal
5570,0.56,2441,Ideal
5571,0.7,2512,Very Good
5572,1.22,7870,Premium
5573,0.32,720,Very Good
5574,0.7,2150,Good
5575,0.63,2156,Ideal
5576,0.32,954,Premium
5577,1.22,6387,Premium
5578,2.13,15258,Ideal
5579,0.69,1636,Premium
5580,1.2,4831,Very Good
5581,0.26,371,Ideal
5582,0.72,2651,Very Good
5583,0.62,2367,Very Good
5584,0.4,648,Ideal
5585,0.4,1125,Ideal
5586,0.41,852,Very Good
5587,2.06,14803,Premium
5588,1.01,10407,Premium
5589,1.27,5925,Ideal
5590,0.53,1813,Ideal
5591,0.31,462,Premium
5592,1.24,5125,Ideal
5593,0.34,596,Ideal
5594,0.7,2952,Very Good
5595,2.2,13919,Good
5596,0.32,676,Ideal
5597,0.9,3465,Very Good
5598,0.4,1123,Premium
5599,0.9,4334,Premium
5600,1.59,7479,Premium
5601,0.7,3008,Very Good
5602,0.5,713,Fair
5603,0.5,2016,Premium
5604,1.06,8619,Ideal
5605,2.21,13615,Ideal
5606,0.4,1050,Premium
5607,0.51,1595,Ideal
5608,1.21,6871,Very Good
5609,1.02,8768,Premium
5610,0.55,1833,Ideal
5611,1.12,6168,Ideal
5612,0.47,1086,Fair
5613,1.51,7188,Fair
5614,0.34,917,Very Good
5615,1.01,5560,Very Good
5616,0.3,526,Very Good
5617,1.36,8977,Ideal
5618,0.38,1000,Ideal
5619,1.2,5085,Good
5620,1.01,5234,Ideal
5621,0.77,3996,Ideal
5622,0.9,4401,Good
5623,0.34,745,Premium
5624,0.76,3306,Ideal
5625,1.39,6252,Ideal
5626,1.27,8705,Premium
5627,0.52,1112,Premium
5628,1.26,5080,Premium
5629,1.47,4898,Fair
5630,1.01,5294,Very Good
5631,2.49,6289,Fair
5632,0.32,524,Good
5633,0.51,1875,Good
5634,0.71,3435,Ideal
5635,1.06,9433,Very Good
5636,0.58,1884,Ideal
5637,1.54,10758,Premium
5638,0.71,2804,Very Good
5639,0.73,2523,Ideal
5640,0.57,1847,Premium
5641,0.54,1837,Ideal
5642,0.72,2829,Premium
5643,1.53,9332,Very Good
5644,0.67,1581,Good
5645,0.42,660,Ideal
5646,0.32,523,Ideal
5647,0.4,912,Ideal
5648,0.31,698,Very Good
5649,0.33,579,Good
5650,0.91,4466,Very Good
5651,0.36,579,Ideal
5652,2.12,17730,Ideal
5653,1.0,4138,Good
5654,1.03,6146,Premium
5655,0.37,818,Very Good
5656,1.01,4672,Very Good
5657,0.82,3380,Ideal
5658,0.7,2730,Very Good
5659,0.33,666,Ideal
5660,2.23,14129,Premium
5661,1.51,10763,Good
5662,1.01,4121,Very Good
5663,1.2,5518,Very Good
5664,1.07,4496,Fair
5665,0.39,740,Ideal
5666,0.84,3392,Very Good
5667,0.42,1142,Premium
5668,1.01,8569,Good
5669,0.59,1445,Very Good
5670,0.56,2055,Ideal
5671,0.9,4119,Good
5672,1.01,7409,Ideal
5673,0.53,1171,Ideal
5674,1.09,5258,Premium
5675,0.3,911,Premium
5676,0.34,825,Very Good
5677,0.6,1866,Ideal
5678,0.52,1641,Very Good
5679,0.5,1991,Good
5680,0.9,3881,Good
5681,0.53,1659,Ideal
5682,0.31,707,Ideal
5683,0.36,538,Ideal
5684,1.53,13077,Premium
5685,1.79,9122,Good
5686,0.3,911,Ideal
5687,0.41,876,Good
5688,0.91,7006,Premium
5689,1.5,10080,Premium
5690,2.16,15166,Very Good
5691,0.5,958,Good
5692,0.4,1088,Ideal
5693,0.24,419,Very Good
5694,0.71,2081,Very Good
5695,0.3,652,Ideal
5696,0.4,1053,Ideal
5697,1.52,9030,Very Good
5698,0.77,2889,Premium
5699,0.7,2342,Premium
5700,2.01,12829,Ideal
5701,0.25,576,Premium
5702,0.52,1244,Good
5703,1.25,13623,Ideal
5704,0.39,988,Ideal
5705,0.41,1356,Ideal
5706,1.55,15512,Ideal
5707,1.06,4568,Ideal
5708,0.44,869,Ideal
5709,1.11,12956,Ideal
5710,0.99,3337,Fair
5711,1.0,4788,Premium
5712,2.01,11954,Good
5713,0.93,4229,Premium
5714,1.0,3941,Good
5715,0.52,1452,Very Good
5716,0.9,4082,Premium
5717,0.4,842,Good
5718,0.3,526,Very Good
5719,0.39,1024,Premium
5720,1.22,11723,Premium
5721,0.41,612,Very Good
5722,0.71,2549,Very Good
5723,0.3,976,Ideal
5724,0.31,977,Ideal
5725,1.01,10688,Ideal
5726,0.31,756,Ideal
5727,1.23,5820,Ideal
5728,1.01,6618,Ideal
5729,0.35,767,Ideal
5730,0.3,608,Premium
5731,0.35,669,Very Good
5732,2.03,16483,Premium
5733,0.35,827,Ideal
5734,0.53,1631,Very Good
5735,2.02,16560,Ideal
5736,0.3,911,Premium
5737,1.26,5306,Ideal
5738,0.42,953,Premium
5739,0.3,570,Very Good
5740,0.31,628,Premium
5741,0.24,373,Good
5742,0.28,828,Ideal
5743,1.01,4205,Fair
5744,1.61,10580,Very Good
5745,1.01,4513,Premium
5746,0.3,574,Ideal
5747,1.62,10362,Premium
5748,0.56,1441,Premium
5749,1.01,5006,Ideal
5750,0.53,1242,Premium
5751,0.76,3293,Ideal
5752,0.33,694,Ideal
5753,0.71,3281,Ideal
5754,0.81,2761,Ideal
5755,1.0,3640,Good
5756,1.35,8256,Very Good
5757,0.38,1069,Ideal
5758,2.03,16422,Very Good
5759,0.55,1975,Ideal
5760,0.57,1304,Ideal
5761,0.42,687,Very Good
5762,0.51,1403,Ideal
5763,1.51,11435,Ideal
5764,2.02,11962,Premium
5765,1.02,5055,Good
5766,1.2,7548,Ideal
5767,1.05,3881,Good
5768,1.16,8646,Ideal
5769,0.64,1682,Premium
5770,0.51,1781,Ideal
5771,0.51,1180,Good
5772,0.28,646,Premium
5773,0.24,608,Very Good
5774,1.55,9704,Ideal
5775,1.31,7147,Good
5776,0.41,1061,Premium
5777,0.41,755,Ideal
5778,0.39,853,Ideal
5779,1.09,3662,Premium
5780,1.24,7563,Good
5781,0.55,1556,Premium
5782,0.34,447,Very Good
5783,1.01,5593,Very Good
5784,0.32,589,Very Good
5785,0.38,1000,Premium
5786,1.7,7664,Ideal
5787,0.9,3975,Very Good
5788,0.72,4228,Ideal
5789,0.33,540,Very Good
5790,0.7,2421,Ideal
5791,0.32,673,Ideal
5792,0.95,5983,Ideal
5793,0.5,855,Good
5794,1.34,9890,Ideal
5795,0.42,992,Ideal
5796,1.01,6271,Premium
5797,0.32,926,Ideal
5798,1.06,4313,Ideal
5799,0.35,644,Ideal
5800,0.39,1095,Premium
5801,1.01,7741,Premium
5802,0.7,1929,Good
5803,0.37,696,Premium
5804,0.3,776,Ideal
5805,0.31,734,Ideal
5806,0.3,1010,Very Good
5807,1.53,14214,Premium
5808,1.74,8653,Premium
5809,0.41,899,Very Good
5810,0.3,665,Ideal
5811,1.21,8505,Very Good
5812,0.9,4304,Premium
5813,0.32,730,Very Good
5814,1.24,9885,Very Good
5815,1.02,3971,Very Good
5816,0.3,873,Ideal
5817,0.3,662,Very Good
5818,1.6,16068,Premium
5819,0.47,1178,Very Good
5820,1.01,6975,Very Good
5821,0.41,654,Good
5822,1.08,7637,Premium
5823,1.01,5544,Good
5824,1.11,4538,Ideal
5825,2.01,14428,Premium
5826,0.44,1040,Premium
5827,1.28,13360,Ideal
5828,1.16,3955,Ideal
5829,0.26,565,Very Good
5830,0.34,521,Very Good
5831,1.4,7584,Very Good
5832,0.32,990,Ideal
5833,1.02,4819,Premium
5834,0.33,545,Premium
5835,1.5,9759,Very Good
5836,0.5,1089,Very Good
5837,1.0,5984,Good
5838,1.02,4366,Ideal
5839,1.0,4816,Premium
5840,1.51,8637,Very Good
5841,1.14,4789,Ideal
5842,2.17,6817,Fair
5843,0.54,1343,Very Good
5844,0.52,1720,Premium
5845,1.11,5152,Ideal
5846,1.01,5664,Ideal
5847,0.51,1928,Premium
5848,0.34,574,Premium
5849,1.09,6532,Ideal
5850,0.4,1035,Very Good
5851,1.72,10697,Very Good
5852,0.3,705,Very Good
5853,0.27,623,Premium
5854,1.21,5936,Ideal
5855,1.5,7291,Premium
5856,0.91,3229,Good
5857,0.73,3487,Ideal
5858,1.12,9634,Ideal
5859,0.43,850,Ideal
5860,0.51,1574,Very Good
5861,1.31,11108,Very Good
5862,0.57,1728,Ideal
5863,0.91,4561,Very Good
5864,1.02,5666,Ideal
5865,0.58,2380,Ideal
5866,0.36,619,Ideal
5867,0.26,545,Very Good
5868,0.5,1635,Good
5869,1.01,6221,Good
5870,0.42,700,Good
5871,1.43,10609,Premium
5872,1.18,6159,Premium
5873,1.01,4416,Very Good
5874,0.3,684,Very Good
5875,0.31,435,Premium
5876,1.51,9336,Ideal
5877,0.57,2339,Ideal
5878,0.5,2052,Ideal
5879,0.32,589,Good
5880,1.03,5105,Premium
5881,1.01,4513,Premium
5882,0.73,2708,Very Good
5883,1.01,5986,Good
5884,0.3,878,Very Good
5885,0.7,1940,Premium
5886,0.32,708,Ideal
5887,0.61,1828,Very Good
5888,1.3,6552,Ideal
5889,1.03,2884,Fair
5890,0.24,478,Very Good
5891,0.42,1400,Ideal
5892,0.71,2317,Premium
5893,0.93,4511,Ideal
5894,1.09,7443,Ideal
5895,0.3,675,Ideal
5896,0.74,3462,Premium
5897,1.5,7500,Good
5898,0.56,1814,Ideal
5899,0.56,1981,Ideal
5900,0.72,2883,Ideal
5901,1.23,7177,Very Good
5902,0.7,1875,Premium
5903,0.57,1414,Premium
5904,0.9,4466,Very Good
5905,0.52,1720,Premium
5906,0.51,1895,Very Good
5907,0.5,2283,Ideal
5908,0.27,407,Very Good
5909,0.34,1033,Ideal
5910,0.31,625,Ideal
5911,1.96,6147,Fair
5912,1.03,4745,Very Good
5913,0.52,3218,Ideal
5914,0.32,828,Ideal
5915,0.91,3282,Very Good
5916,0.28,487,Very Good
5917,0.31,907,Premium
5918,0.33,536,Good
5919,0.51,1875,Ideal
5920,0.68,1924,Good
5921,0.7,2617,Ideal
5922,1.02,4718,Premium
5923,0.7,3185,Ideal
5924,0.4,731,Premium
5925,1.01,4416,Premium
5926,0.8,2246,Good
5927,1.01,4791,Fair
5928,0.56,1287,Premium
5929,0.28,394,Very Good
5930,0.31,625,Good
5931,0.34,895,Ideal
5932,0.76,3050,Ideal
5933,0.7,1996,Fair
5934,0.86,3372,Premium
5935,0.35,665,Very Good
5936,0.24,419,Very Good
5937,0.5,1316,Very Good
5938,0.5,1411,Very Good
5939,0.7,2113,Ideal
5940,1.2,5016,Very Good
5941,0.7,2351,Good
5942,1.04,8655,Very Good
5943,0.32,972,Ideal
5944,0.72,2650,Ideal
5945,1.08,3118,Premium
5946,0.9,4460,Premium
5947,1.02,5369,Premium
5948,0.51,1574,Premium
5949,0.59,2175,Ideal
5950,0.7,3752,Ideal
5951,1.14,5339,Ideal
5952,1.54,11897,Premium
5953,1.54,11663,Premium
5954,0.9,3734,Good
5955,0.31,617,Very Good
5956,1.13,4556,Ideal
5957,1.54,8408,Premium
5958,0.24,449,Very Good
5959,2.0,17760,Good
5960,0.61,2278,Ideal
5961,0.32,781,Ideal
5962,1.02,3148,Ideal
5963,2.02,10181,Ideal
5964,0.42,700,Very Good
5965,1.0,4592,Premium
5966,1.58,10338,Ideal
5967,1.12,3763,Ideal
5968,2.13,17045,Premium
5969,0.28,462,Very Good
5970,0.51,1343,Very Good
5971,1.06,7160,Ideal
5972,0.51,1569,Ideal
5973,2.66,16239,Good
5974,0.34,628,Good
5975,1.09,6856,Ideal
5976,0.4,596,Very Good
5977,1.01,7127,Ideal
5978,0.6,2318,Ideal
5979,0.32,449,Good
5980,0.53,1940,Premium
5981,0.3,652,Ideal
5982,1.19,4660,Premium
5983,1.2,5211,Good
5984,0.32,867,Ideal
5985,1.38,6779,Premium
5986,1.21,5597,Good
5987,2.05,16611,Premium
5988,1.03,5364,Ideal
5989,0.34,765,Premium
5990,0.51,2320,Very Good
5991,1.7,15756,Ideal
5992,0.9,9182,Very Good
5993,0.73,2770,Ideal
5994,0.34,464,Ideal
5995,0.6,2177,Very Good
5996,0.57,1788,Fair
5997,0.42,1087,Premium
5998,0.53,1282,Good
5999,1.51,8706,Good
6000,1.0,4425,Ideal
6001,0.71,2905,Very Good
6002,0.71,2455,Very Good
6003,0.76,2990,Very Good
6004,2.04,14810,Very Good
6005,0.52,1146,Ideal
6006,1.51,7208,Good
6007,0.53,2247,Ideal
6008,0.76,2358,Ideal
6009,0.9,4601,Good
6010,0.35,706,Very Good
6011,0.59,1790,Ideal
6012,0.3,956,Ideal
6013,0.75,3152,Ideal
6014,0.7,2777,Ideal
6015,0.71,2917,Ideal
6016,1.53,8529,Ideal
6017,0.7,3095,Very Good
6018,3.01,10761,Fair
6019,1.12,8408,Very Good
6020,1.12,5277,Ideal
6021,0.38,853,Very Good
6022,0.41,613,Ideal
6023,0.3,776,Premium
6024,0.35,429,Good
6025,0.5,1591,Ideal
6026,0.7,2726,Ideal
6027,1.01,4588,Very Good
6028,2.15,15613,Ideal
6029,0.71,3007,Ideal
6030,0.9,3964,Very Good
6031,0.91,2763,Fair
6032,1.1,4065,Good
6033,0.72,2746,Ideal
6034,0.31,523,Very Good
6035,1.1,4640,Premium
6036,1.0,4155,Good
6037,1.51,3497,Good
6038,0.3,473,Ideal
6039,0.73,2839,Ideal
6040,1.51,9116,Fair
6041,0.9,4198,Ideal
6042,1.09,6905,Ideal
6043,0.3,851,Premium
6044,1.12,4953,Very Good
6045,0.3,684,Ideal
6046,1.23,6459,Very Good
6047,0.41,1356,Ideal
6048,0.57,1397,Very Good
6049,0.8,2939,Ideal
6050,1.55,7319,Premium
6051,1.0,5292,Premium
6052,0.3,540,Premium
6053,0.42,1040,Ideal
6054,0.35,1247,Premium
6055,0.32,421,Premium
6056,0.3,709,Premium
6057,0.92,3679,Very Good
6058,1.02,3879,Very Good
6059,0.3,605,Ideal
6060,0.38,1157,Very Good
6061,0.3,912,Ideal
6062,0.81,2534,Premium
6063,0.51,1023,Ideal
6064,0.3,878,Ideal
6065,0.54,1057,Ideal
6066,0.73,2703,Premium
6067,0.35,906,Ideal
6068,0.36,968,Very Good
6069,0.75,1958,Very Good
6070,0.25,525,Very Good
6071,0.91,3682,Premium
6072,1.23,5979,Premium
6073,1.2,4368,Ideal
6074,0.51,1741,Very Good
6075,1.04,6694,Very Good
6076,0.33,891,Ideal
6077,0.57,1949,Ideal
6078,1.18,6191,Ideal
6079,0.42,626,Ideal
6080,1.0,2743,Fair
6081,0.4,667,Ideal
6082,0.36,560,Ideal
6083,0.41,1076,Ideal
6084,0.24,432,Ideal
6085,0.52,2733,Ideal
6086,1.3,5242,Good
6087,0.41,1439,Ideal
6088,1.71,10821,Ideal
6089,0.3,590,Ideal
6090,0.53,1948,Ideal
6091,0.71,1783,Good
6092,0.3,552,Ideal
6093,0.4,1092,Ideal
6094,0.4,1043,Ideal
6095,0.25,525,Ideal
6096,0.32,842,Ideal
6097,0.32,645,Ideal
6098,0.31,816,Premium
6099,0.54,1786,Premium
6100,2.0,7258,Fair
6101,0.38,1200,Premium
6102,1.91,13092,Premium
6103,0.92,3318,Premium
6104,0.26,478,Ideal
6105,0.3,776,Premium
6106,0.79,3539,Very Good
6107,0.5,851,Premium
6108,0.25,633,Very Good
6109,0.9,3139,Good
6110,1.6,10483,Premium
6111,0.91,3489,Very Good
6112,0.73,3235,Ideal
6113,0.35,615,Ideal
6114,0.3,569,Ideal
6115,0.31,907,Ideal
6116,0.34,765,Ideal
6117,0.44,1028,Premium
6118,0.3,491,Ideal
6119,0.56,1708,Ideal
6120,1.01,7792,Ideal
6121,0.5,1614,Premium
6122,0.42,675,Fair
6123,0.31,617,Premium
6124,0.9,4269,Premium
6125,0.7,2459,Good
6126,1.51,7154,Very Good
6127,1.01,6516,Ideal
6128,0.71,2112,Fair
6129,1.51,13334,Ideal
6130,1.21,4337,Premium
6131,1.01,8752,Good
6132,0.3,844,Ideal
6133,0.31,890,Very Good
6134,0.77,3096,Good
6135,1.04,5504,Premium
6136,1.28,6093,Premium
6137,0.42,898,Premium
6138,1.02,5115,Ideal
6139,1.01,9474,Very Good
6140,0.32,936,Ideal
6141,0.26,524,Good
6142,1.02,5581,Premium
6143,0.3,709,Premium
6144,1.12,5027,Premium
6145,0.44,786,Very Good
6146,1.11,4096,Premium
6147,0.43,716,Ideal
6148,0.31,502,Ideal
6149,0.3,421,Very Good
6150,1.51,10588,Ideal
6151,1.01,4327,Premium
6152,0.92,4562,Very Good
6153,0.44,1143,Ideal
6154,0.7,2329,Premium
6155,0.72,2048,Very Good
6156,0.92,4328,Ideal
6157,0.59,3234,Very Good
6158,1.01,4497,Premium
6159,0.34,686,Very Good
6160,1.03,6072,Premium
6161,0.42,773,Very Good
6162,1.01,8552,Ideal
6163,0.39,874,Ideal
6164,0.23,530,Very Good
